Date,ppo_agent,buy_and_hold,moving_average,random
2025-11-04,137272.06118878597,143214.31203086043,123577.72933632403,105178.32771116598
2025-11-05,135799.2158557379,141677.70997743707,122251.81581579075,103945.77869813195
2025-11-06,135932.92091136827,141817.20287490892,122372.18238588885,104048.12152858057
2025-11-07,138054.0620329715,144030.16422931734,124281.71737166528,103944.07340705198
2025-11-10,138370.10452967524,144359.88761473147,124566.23130536893,103944.07340705198
2025-11-11,138447.09035010944,144440.2060073755,124635.53698052207,103897.9035008172
2025-11-12,136149.6954725684,142043.36120151385,122567.33140469862,102173.81879317609
2025-11-13,136127.41335749894,142020.11453534864,122547.27216495786,102071.64497438291
2025-11-14,134859.18758059363,140696.98963603275,121405.56524777088,102071.64497438291
2025-11-17,133726.7071195776,139515.4862134991,120386.06162352175,102071.64497438291
2025-11-18,134243.31338233378,140054.45539536132,120851.13097819936,102363.49703640184
2025-11-19,132197.1425513333,137919.7096552479,119009.08720804348,100803.24649938957
2025-11-20,133513.98834846783,139293.55924455353,120194.56378708433,101807.37055932297
2025-11-21,135479.1175689438,141343.75523436358,121963.65069971474,101705.56318876364
2025-11-24,136753.4270309846,142673.2271701685,123110.83439046024,101705.56318876364
2025-11-25,137697.4987310055,143658.16596875153,123960.72500919887,101705.56318876364
2025-11-26,138449.1182451546,144442.32168620516,124637.36257170825,102158.46059809069
2025-11-28,137817.0332517471,143782.87491537692,124068.33470430093,101692.05943416763
2025-12-01,138072.3007231643,144049.19243830384,124298.13656068726,101880.41550498472
2025-12-02,138550.41407570342,144548.00242384407,124728.55307778831,101778.53508947973
2025-12-03,138651.70990625222,144653.68316148297,124819.74358386837,101778.53508947973
2025-12-04,138915.07659263638,144928.45049924796,125056.83667334582,101778.53508947973
2025-12-05,138497.73826538384,144493.04637619495,124681.13223356211,101371.29217614059
2025-12-08,138378.2037446422,144368.33742956954,124573.52253846005,101283.80071975294
2025-12-09,139295.949904717,145325.81110480867,125399.71386673916,101955.53092489323
2025-12-10,139620.09161638774,145663.98430506088,125691.51903353394,102192.78147188255
2025-12-11,138118.8928483484,144097.80144946394,124340.08063135494,102090.58869041067
2025-12-12,137910.21750211527,143880.09293769707,124152.2228456363,101834.40994828755
2025-12-15,137533.39998012496,143486.96368979575,123812.9968346153,101732.57553833925
2025-12-16,136020.04620702832,141908.09966170136,122450.61601697285,101732.57553833925
2025-12-17,137047.1750474052,142979.69098893678,123375.27795276957,101732.57553833925
2025-12-18,137881.864067124,143850.5121355235,124126.69796399059,102249.82798497647
2025-12-19,138740.85073174373,144746.68272662442,124899.99167448498,102886.83154808465
2025-12-22,139374.96362019636,145408.24517628236,125470.84513307847,103357.07420259196
2025-12-23,139865.23197779278,145919.73633432004,125912.20406564297,103720.64526082994
2025-12-24,139851.04907769032,145904.9394829929,125899.43605899335,103710.1275679802
2025-12-26,139352.66913991323,145384.9856096365,125450.77476168414,103606.41744041223
2025-12-29,139182.4990691109,145207.4491946723,125297.58094519563,103376.41889292705
2025-12-30,138151.30207342998,144131.61360929688,124369.256695373,102610.50756571552
2025-12-31,138404.541649802,144395.8154533941,124597.23296057315,102798.5987460176
2026-01-02,139326.33123475345,145357.50758581192,125427.06433957104,102695.80014727158
2026-01-05,140154.93656933674,146221.9816959096,126173.00757723354,102695.80014727158
2026-01-06,139703.1611219574,145750.64973419392,125766.30148224559,102695.80014727158
2026-01-07,139688.97822185495,145735.8528828668,125753.53347559595,102582.68892245911
2026-01-08,140612.79570185154,146699.6606941143,126585.19044578001,103261.10809609722
2026-01-09,140833.6136879283,146930.03747789792,126783.97951530854,103423.26908447682
2026-01-12,140552.020676565,146636.2548316271,126530.47836846267,103216.47704794591
2026-01-13,139861.17618770245,145915.50497666065,125908.55288327063,102709.14507231768
2026-01-14,140242.04949978308,146312.86558222136,126251.43007666396,102606.43592724536
2026-01-15,140124.54287408662,146190.27231442565,126145.64597274808,102606.43592724536
2026-01-16,137272.06118878597,143214.31203086043,123577.72933632403,102606.43592724536
2026-01-20,138856.32946239502,144867.16031559044,125003.95018721468,102606.43592724536
2026-01-21,139581.59870617063,145623.82510873885,125656.86619595737,102606.43592724536
2026-01-22,139632.24662144503,145676.6654775583,125702.4614489974,102606.43592724536
2026-01-23,140341.3174352867,146416.43064103057,126340.79499155786,102606.43592724536
2026-01-26,140900.47239835034,146999.79037687418,126844.16836618439,102606.43592724536
2026-01-27,140886.28949824788,146984.99352554706,126831.40035953475,102493.5115587445
2026-01-28,140606.71201671605,146693.31365762526,126579.71367222148,102290.12144933786
2026-01-29,140187.34579441833,146255.79385574255,126202.18364125158,101985.03628522789
2026-01-30,140884.2616032027,146982.87784671737,126829.57476834858,102492.03628329371
2026-02-02,139693.03401194527,145740.08424052616,125757.1846579683,101625.42889851227
2026-02-03,139016.3724231852,145034.13123688687,125148.02717942589,101523.80346961376
2026-02-04,137280.16040375293,143222.7618456985,123585.02056941515,101523.80346961376
2026-02-05,139913.85199802203,145970.4610243098,125955.97372749684,101523.80346961376
2026-02-06,140588.48569173692,146674.29834911943,126563.30561485307,101523.80346961376
2026-02-09,140217.73948966846,146287.50323722648,126229.54524573704,101523.80346961376
2026-02-10,140185.33026458687,146253.69107739354,126200.36918171898,101523.80346961376
2026-02-11,138019.62491284474,143994.23639065473,124250.71571646105,101523.80346961376
2026-02-12,138116.86495330321,144095.68577063424,124338.25504016878,101493.73549414221
2026-02-13,138339.71083442512,144328.17823324754,124538.86970088349,101657.49146212042
2026-02-17,139036.62664320949,145055.26222422236,125166.26082798047,102169.61276448536
2026-02-18,138669.93623123135,144672.6984699888,124836.15164123678,101900.15414555326
2026-02-19,139672.7674267073,145718.94035271,125738.93987776015,102637.07417435151
2026-02-20,138246.52658405696,144230.96021092738,124454.98155954812,101589.01598910501
2026-02-23,139251.37330936443,145279.3048719976,125359.58425560407,102327.41710894645
2026-02-24,140426.41483590158,146505.21174899332,126417.40303145569,103190.8841006807
2026-02-25,139646.4295215475,145691.46232888542,125715.22945564704,102617.72003986068
2026-02-26,138975.85161792295,144991.85636173518,125111.54875066315,102124.95287198658
2026-02-27,139054.8653334023,145074.29043320887,124986.43720191249,102022.82791911458
2026-03-02,137829.18825680442,143795.55608787437,124986.43720191249,102022.82791911458
2026-03-03,138801.62575703027,144810.08858911163,124986.43720191249,102022.82791911458
2026-03-04,138027.7241278117,144002.6862054928,124986.43720191249,102022.82791911458
2026-03-05,136218.5820780356,142115.22977931978,124986.43720191249,102022.82791911458
2026-03-06,137411.84992955188,143360.15196482133,124986.43720191249,102022.82791911458
2026-03-09,137191.01957826145,143129.76228055704,124986.43720191249,101757.01130482528
2026-03-10,137018.82161241394,142950.1101867632,124986.43720191249,101629.28902087931
2026-03-11,134938.20129607298,140779.42370750647,124986.43720191249,100086.05604760018
2026-03-12,134174.42677686657,139982.5868175554,124986.43720191249,99985.96999155259
2026-03-13,135539.90495944404,141407.17399733144,124986.43720191249,99985.96999155259
2026-03-16,135896.45589619636,141779.15935741662,124986.43720191249,100148.74384260392
2026-03-17,134000.2009159739,139800.81904493185,124986.43720191249,100048.59509876132
2026-03-18,133669.9755191677,139456.2988081906,124986.43720191249,100048.59509876132
2026-03-19,131394.87512190978,137082.7135689748,124986.43720191249,100048.59509876132
